year,month,day,validity,causeCode,earthquakeMagnitude,locationCountry,locationName,locationLat,locationLong,maxWaterHeight,runups,numDeaths,numInjuries,descrDamage,numDestroyedHouses
-2000,,,1,1,*,SYRIA,SYRIAN COASTS,  35.683,   35.800,,1,,,4,
-1610,,,4,6,*,GREECE,THERA ISLAND (SANTORINI),  36.400,   25.400,  90.00,2,,,3,
-1365,,,1,1,*,SYRIA,SYRIAN COASTS,  35.683,   35.800,,0,,,,
-1300,,,2,0,,TURKEY,"IONIAN COASTS, TROAD",  39.960,   26.240,,0,,,,
-760,,,2,0,,ISRAEL,ISRAEL AND LEBANON COASTS,,,,0,,,,
-590,,,2,1,*,LEBANON,LEBANON COASTS,  33.270,   35.220,,0,,,,
-525,,,2,1,*,LEBANON,LEBANON COASTS,  33.560,   35.370,,0,,,,
-480,9,29,1,1,*,GREECE,SARONIC GULF,  37.900,   23.500,,0,,,,
-479,,,2,1, 7.0,GREECE,NORTH AEGEAN,  39.700,   23.300,,1,,,,
-426,6,,4,1, 7.1,GREECE,CORINTHOS-PATRAS GULF,  38.900,   22.700,,10,,,2,
-373,,,4,3, 7.3,GREECE,CORINTHOS-PATRAS GULF,  38.250,   22.250,,1,,,3,
-330,,,1,1, 7.0,GREECE,"E. SPORADES ISLANDS, AEGEAN ISLANDS",  40.000,   25.000,,0,,,,
-326,11,,2,1,*,INDIA,KUTCH,  23.000,   71.000,,0,,,,
-227,,,2,1, 7.2,GREECE,DODECANESE ISLANDS,  36.300,   28.300,,1,,,1,
-226,,,1,0,,GREECE,SOUTH EVIOKOS GULF,  38.600,   23.300,,0,,,,
-223,10,,1,1,*,GREECE,MALIAKOS GULF,  38.809,   22.784,,0,,,,
-218,,,1,1,*,SPAIN,CADIZ,  36.200,   -7.170,,1,,,,
-210,,,1,1,*,PORTUGAL,GULF OF CADIZ,  36.000,  -10.500,,1,,,,
-198,,,1,6,*,GREECE,THERA ISLAND (SANTORINI),  36.404,   25.396,,0,,,,
-150,,,1,0,,SRI LANKA,SRI LANKA,,,,0,,,,
-138,,,2,0,,ISRAEL,ISRAEL AND LEBANON COASTS,,,,3,,,,
-60,,,1,1, 6.7,PORTUGAL,CABO SAN VICENTE,  36.000,  -10.000,,0,,,,
-58,,,2,1, 6.6,ALBANIA,ALBANIA,  41.300,   19.500,,1,,,,
-50,,,1,1, 5.5,GEORGIA,BLACK SEA,  43.000,   41.000,,0,,,2,
-50,,,2,1,*,BULGARIA,BLACK SEA,  43.500,   28.500,,0,,,2,
-47,9,,1,0,,CHINA,"LAIZHOU BAY, BOHAI SEA",  37.500,  119.500,,0,,,,
-23,,,3,0,*,EGYPT,ALEXANDRIA,,,,2,,,,
46,,,4,6,,GREECE,THERA ISLAND (SANTORINI),  36.404,   25.396,,0,,,,
62,,,2,1, 6.9,GREECE,CRETE,  35.200,   25.100,,1,,,,
76,6,20,1,1, 6.3,CYPRUS,LEVANTIAN SEA,  34.800,   32.000,,0,,,,
79,8,24,3,4,*,ITALY,BAY OF NAPLES,  40.821,   14.426,,0,,,,
115,12,13,2,1, 7.5,TURKEY,ANTAKYA (ANTIOCH),  36.100,   36.100,,1,,,,
120,,,2,1, 7.2,TURKEY,MARMARA SEA,  40.770,   29.920,,0,,,,
123,,,0,1, 6.3,SOUTH KOREA,SEA OF JAPAN,  35.800,  129.200,,1,,,1,
142,,,3,1, 7.0,GREECE,DODECANESE ISLANDS,  36.700,   28.000,,4,,,2,
173,6,28,2,1,*,CHINA,"LAIZHOU BAY, BOHAI SEA",  37.500,  120.000,,3,,,,
177,,,2,1,*,ITALY,ISLAND OF SICILY,  38.000,   15.000,,0,,,2,
258,,,0,1,*,ITALY,TYRRHENIAN SEA,  41.900,   12.450,,1,,,,
262,,,1,1,*,TURKEY,SOUTH COASTS OF ASIA MINOR,  36.600,   30.000,,0,,,,
315,,,1,1,*,DEAD SEA,DEAD SEA,  31.700,   35.500,,0,,,,
342,,,-1,1,,CYPRUS ISLAND,CYPRUS,,,,1,,,,
344,,,-1,1,*,TURKEY,"MARMARA SEA, DARDANELLES",  40.300,   26.500,,0,,,,
346,,,1,1, 6.8,ALBANIA,ADRIATIC SEA,  41.400,   19.400,,1,,,1,
348,,,1,1, 4.1,TURKEY,LEVANTIAN SEA,  33.900,   35.500,,3,,,,
358,8,24,1,1,*,TURKEY,MARMARA SEA,  40.770,   29.900,,1,,,,
362,5,24,2,1,*,JORDAN,DEAD SEA,  31.300,   35.600,,0,,,3,
365,7,21,4,1, 8.0,GREECE,CRETE,  35.000,   23.000,,11,5000,,4,
368,,,2,1, 6.4,TURKEY,MARMARA SEA,  40.500,   29.600,,1,,,,
